Match,Red1,Red2,Red3,Blue1,Blue2,Blue3,redScore,blueScore,redWin,redRP,blueRP
54,3543,3161,4946,1310,4976,1360,105.23,114.94,False,0.8334,3.1163000000000003
55,4920,8729,1241,6397,7558,4152,106.44,106.80000000000001,False,1.0566,2.652
56,9127,1114,6987,771,1325,4917,84.56,100.4,False,0.9637,2.8085
57,5036,4951,2935,5032,2609,7022,63.57,93.38,False,0.12850000000000006,3.1709
58,5885,8731,9113,6864,8089,6514,46.0,62.84,False,0.03589999999999993,2.2329
59,2708,5596,5024,610,4343,9263,86.59,96.8,False,0.6402000000000001,2.4919
60,4907,2706,772,6141,5870,2013,110.53,83.8,True,2.8668,0.8354999999999999
61,7603,8850,7690,781,7659,2056,63.67,123.91,False,-0.25680000000000003,3.3225
62,7476,1285,1310,2200,5834,3739,99.05,100.35,False,0.6456999999999999,2.9434000000000005
63,8081,3543,3683,5409,5406,4069,126.17999999999999,130.32999999999998,False,1.7167000000000001,4.1701999999999995
64,1305,4039,7712,7480,1374,2702,123.54,91.7,True,2.8865000000000003,0.7073999999999999
65,865,7757,4678,6859,9098,8349,115.10999999999999,75.28,True,3.0793999999999997,0.5786
66,5031,7475,2852,5672,5719,9062,69.69,52.91,True,2.2022,-0.09119999999999995
67,4476,3756,9127,8764,6978,9113,72.36,71.21000000000001,True,2.2427,0.1336
68,5024,8089,7603,2706,4951,1114,81.64999999999999,111.47999999999999,False,0.9221,3.5013
69,5834,610,3161,4917,5036,6864,122.59,88.03,True,3.4677,0.5747
70,2056,6141,4976,2708,8731,3683,146.34,108.66,True,4.0764,1.3489
71,4920,1285,2702,5870,3543,1325,105.28,93.05000000000001,True,3.1412999999999998,0.5888
72,1310,5885,5409,8850,7659,865,109.1,61.05,True,3.2122,0.014100000000000001
73,1241,4343,5406,3739,1360,1305,118.0,98.13,True,3.2848,1.0019
74,7475,7757,3756,4152,1374,5032,62.99,102.67,False,0.4143,2.8998
75,8764,771,7022,2852,7712,6397,48.620000000000005,58.47,False,-0.1925,1.6592
76,4069,4476,4678,6987,4907,5719,152.28,88.81,True,3.9415999999999998,0.5484
77,2935,9062,5031,7690,4039,8081,65.15,125.45,False,0.2298,2.879
78,772,781,6859,8729,7480,5596,59.17,71.27000000000001,False,0.1197999999999999,2.1638
79,2609,2200,9263,5672,2013,6978,110.97999999999999,97.63,True,3.0025000000000004,0.6106
80,8349,7476,6514,7558,4946,9098,65.52,123.19,False,-0.1961,2.933
81,4917,7757,5870,8731,5406,8089,90.41999999999999,75.05,True,3.0865,0.8168
82,1305,2852,3161,9127,2706,3543,110.34,71.22,True,3.2766,-0.10500000000000004
83,7475,1114,6141,4678,610,7712,102.46000000000001,137.93,False,1.7312999999999998,3.0747
84,7659,5719,2935,6397,4951,1285,66.28999999999999,63.0,True,2.1323999999999996,0.5252
85,4069,6987,7022,5834,2708,9113,75.57,63.63,True,2.8556,0.4172
86,4343,8729,1374,8081,5036,8850,78.71000000000001,74.22999999999999,True,2.1244,0.024100000000000066
87,771,6978,772,2056,865,5031,65.66,133.7,False,0.08829999999999999,3.3104
88,4976,5032,8349,6864,1241,5024,103.32,108.53999999999999,False,1.2004,3.1147
89,5596,2702,5672,7476,8764,7603,65.17,63.81999999999999,True,1.9644,-0.36130000000000007
90,2013,5409,3739,7558,4039,6859,120.65,117.15,True,3.6154,0.9814
91,9263,3756,6514,781,4907,1310,54.34,118.03999999999999,False,-0.031000000000000028,3.165
92,2200,4920,1325,1360,7690,9098,127.99000000000001,97.32000000000001,True,3.0873,0.5450999999999999
93,9062,3683,5885,4476,7480,4152,103.92999999999999,127.59,False,1.5893000000000002,3.1642
94,2609,1305,2056,4946,9113,8081,164.98000000000002,81.55,True,4.1716,0.3234
95,7022,7712,3543,1241,5031,7757,65.42,96.43,False,0.03560000000000002,2.893
96,5024,8850,4976,2702,4917,5719,103.03999999999999,98.5,True,3.0662000000000003,0.8717999999999999
97,5409,1374,6397,1114,3161,772,83.78999999999999,128.78,False,0.7647,4.2148
98,2852,2013,7659,7475,5596,5834,80.93,60.68000000000001,True,2.5269,-0.03259999999999996
99,2200,6987,4039,610,5406,6859,120.13,106.65,True,3.0682,1.3342
100,2935,9098,781,4152,3739,9127,95.49,86.47,True,2.915,0.5112000000000001
101,2609,3683,4946,9062,3756,2708,145.14,58.69,True,3.8362999999999996,0.4013
102,1360,4907,5036,5672,8731,865,99.61,59.59,True,2.6804,-0.1779
103,2706,4920,7480,4678,771,7476,105.44000000000001,89.08999999999999,True,2.7184,0.23210000000000003
104,8729,6141,4069,1310,1325,8089,85.37,108.71,False,1.0224000000000002,2.9558999999999997
105,6864,7558,5870,8764,4951,4476,91.55000000000001,85.96000000000001,True,2.4926,0.3841
106,6978,5032,7690,6514,1285,4343,99.1,87.8,True,2.4946,0.4112
107,9263,5885,3739,7603,8349,6397,74.95,55.08,True,2.6723,0.057499999999999996
108,5596,8081,3161,2702,1241,6987,101.53999999999999,98.2,True,2.8861000000000003,0.8225
109,2852,6859,4907,2935,1374,5024,81.61,94.33,False,0.6060000000000001,2.8583
110,4152,865,7476,7022,8731,1305,96.67,68.38,True,2.2759,0.39049999999999996
111,9127,1310,7712,2013,5719,3683,75.05,130.7,False,-0.27560000000000007,3.6953
112,2708,781,4039,5672,4678,8089,115.50999999999999,98.08,True,3.1635,0.9305000000000001
113,6864,771,4946,2200,4343,6141,61.55,91.52000000000001,False,-0.33819999999999995,2.524
114,2706,5032,7603,6978,4917,7558,91.21,129.69,False,0.5557000000000001,3.3196000000000003
115,5834,5406,4951,1325,5031,8850,76.93,84.66999999999999,False,0.8204,2.1248
116,6514,7480,5036,4976,3756,4920,78.82000000000001,96.74000000000001,False,0.20069999999999993,3.1041
117,8764,9263,1114,2056,4069,7475,100.65,145.46,False,1.1322,4.0009999999999994
118,5885,9098,2609,772,1285,3543,111.03999999999999,80.92,True,3.4221999999999997,0.7456
119,610,7690,5409,8729,7757,4476,127.96,100.04,True,3.2248,0.8386
120,8349,5870,7659,9062,1360,9113,63.24,49.65,True,2.2921,0.19629999999999997
121,5032,1241,8089,7476,5719,2200,98.92,88.4,True,3.3484,0.1304
122,5024,5031,6397,4678,1305,2013,77.82999999999998,143.76999999999998,False,0.4686,3.6064999999999996
123,8081,4951,6864,2852,3683,6514,69.66,108.48,False,0.2719,3.303
124,7475,7603,6859,2708,9127,5036,57.07000000000001,64.48,False,0.12990000000000002,1.9348
125,1310,1374,7558,8731,2056,6987,115.85,106.43,True,2.8857,0.7643
126,7690,2702,771,5834,4907,5885,73.55,95.37,False,-0.07419999999999993,2.9242
127,7659,7022,7480,3739,4946,1114,66.41,124.53,False,0.5408999999999999,3.7747
128,1285,7757,781,4920,6141,3161,90.31,101.36,False,0.9495,3.3308
129,4069,8764,610,8349,772,2935,116.71,69.41999999999999,True,3.2026,0.29019999999999996
130,865,9062,5870,9263,1325,8729,67.31,91.82000000000001,False,0.3962,2.364
131,5406,7712,1360,5409,2609,5596,94.69999999999999,105.11999999999999,False,0.5485,3.0587
132,4917,4476,4343,3756,4039,9098,120.89000000000001,110.97,True,3.0963,1.3306
133,5672,8850,2706,3543,9113,4152,70.00999999999999,78.82,False,-0.18059999999999993,2.5437000000000003
134,6978,7476,6859,4976,6397,7659,68.87,80.25999999999999,False,-0.11749999999999988,2.7191
135,3683,5036,3739,771,7757,1305,123.31,73.66,True,3.7373,0.48129999999999995
136,610,5031,8731,5032,9127,7480,87.17,71.01,True,2.4093,0.34299999999999997
137,772,7558,1325,8081,7475,5024,117.16999999999999,103.94,True,2.7742,0.9919
138,4678,8764,1374,9263,9062,5406,109.78999999999999,75.75,True,2.6732,0.7923
139,4917,7022,4907,781,2200,8349,110.48,96.8,True,3.5925000000000002,0.6752
